City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,benghazi,32.1167,20.0667,18.84,59,78,2.11,LY,1678493855
327,tshela,-4.9833,12.9333,22.71,100,100,0.48,CD,1678493856
328,ahuimanu,21.4447,-157.8378,26.03,60,75,2.57,US,1678493857
329,bandarbeyla,9.4942,50.8122,26.41,69,43,4.8,SO,1678493858
330,valdivia,-39.8142,-73.2459,17.05,91,13,1.24,CL,1678493801
331,ancud,-41.8697,-73.8203,15.49,76,100,6.5,CL,1678493860
332,seoul,37.5683,126.9778,12.76,71,51,0.51,KR,1678493860
333,riyadh,24.6877,46.7219,15.08,65,50,4.39,SA,1678493737
334,alekseyevskaya,50.2896,42.1845,1.01,82,99,2.79,RU,1678493861
335,davidson,36.1501,-86.7833,10.21,54,75,4.12,US,1678493862
336,blagoyevo,63.3667,47.9167,-20.08,100,91,1.45,RU,1678493863
337,la ronge,55.1001,-105.2842,-8.58,87,100,5.11,CA,1678493720
338,oum hadjer,13.2954,19.6966,26.19,11,100,4.38,TD,1678493864
339,presidente medici,-11.1753,-61.9014,23.0,94,98,1.41,BR,1678493865
340,namatanai,-3.6667,152.4333,28.95,71,96,1.81,PG,1678493866
341,lourdes,43.1,-0.05,18.71,48,100,7.2,FR,1678493760
342,nerchinskiy zavod,51.3088,119.61,-14.96,80,100,7.72,RU,1678493867
343,akdepe,42.0551,59.3788,10.05,79,100,3.84,TM,1678493867
344,xichang,27.8964,102.2634,10.47,78,30,0.61,CN,1678493868
345,muli,2.9167,73.5667,27.26,77,92,5.68,MV,1678493868
346,batabano,22.7164,-82.2881,25.34,67,1,1.77,CU,1678493869
347,rafraf,37.1904,10.1837,15.17,79,82,11.58,TN,1678493870
348,darhan,49.4867,105.9228,-14.33,85,46,2.39,MN,1678493870
349,hailar,49.2,119.7,-15.15,73,5,10.49,CN,1678493871
350,trabzon,40.9167,39.8333,9.05,66,75,2.06,TR,1678493872
351,airai,-8.9266,125.4092,19.55,67,4,0.48,TL,1678493872
352,tahta,26.7693,31.5021,18.27,29,0,2.3,EG,1678493873
353,atasu,48.6814,71.6433,-0.92,82,100,3.02,KZ,1678493874
354,nikolayevka,53.1257,47.2041,-3.07,91,69,2.77,RU,1678493875
355,nchelenge,-9.3451,28.734,21.81,85,99,2.93,ZM,1678493877
356,pangnirtung,66.1451,-65.7125,-15.68,71,3,2.4,CA,1678493878
357,baherden,38.4362,57.4316,14.2,84,99,0.82,TM,1678493878
358,aurillac,44.9167,2.45,9.49,95,100,4.12,FR,1678493879
359,caldwell,43.6629,-116.6874,9.93,39,75,12.35,US,1678493880
360,sohag,26.557,31.6948,18.23,27,0,2.87,EG,1678493881
361,avera,33.194,-82.5271,15.21,69,100,5.23,US,1678493882
